id,gender,bg_type,nationality,gpa,gpa_scale,gre,toefl,major,intern_desc,has_paper,has_research,courses_note,program,result,season,source
200,unknown,,其他国际,3.92,4,170,,,,不明,不明,,gatech-qcf,accepted,14Fall,gradcafe
201,unknown,,其他国际,3.9,4,,,,,不明,不明,,gatech-qcf,rejected,13Fall,gradcafe
202,unknown,,,3.51,4,800,,,,不明,不明,,gatech-qcf,rejected,12Fall,gradcafe
203,unknown,,美籍,,4,,,,,不明,不明,,gatech-qcf,waitlisted,,gradcafe
204,unknown,,美籍,3.2,4,159,,,,不明,不明,,gatech-qcf,rejected,16Fall,gradcafe
205,unknown,,其他国际,3.35,4,170,,,,不明,不明,,rutgers-mqf,accepted,19Fall,gradcafe
206,unknown,,美籍,3.2,4,,,,,不明,不明,,rutgers-mqf,accepted,20Fall,gradcafe
207,unknown,,其他国际,3.7,4,322,,,,不明,不明,,rutgers-mqf,rejected,26Fall,gradcafe
208,unknown,,美籍,3.5,4,,,,,不明,不明,,rutgers-mqf,accepted,26Fall,gradcafe
209,unknown,,其他国际,3.93,4,,,,,不明,不明,,rutgers-mqf,rejected,26Fall,gradcafe
210,unknown,,其他国际,,4,,,,,不明,不明,,rutgers-mqf,rejected,26Fall,gradcafe
211,unknown,,美籍,3.5,4,,,,,不明,不明,,rutgers-mqf,rejected,26Fall,gradcafe
212,unknown,,其他国际,3.84,4,,,,,不明,不明,,rutgers-mqf,accepted,26Fall,gradcafe
213,unknown,,美籍,3.98,4,,,,,不明,不明,,rutgers-mqf,rejected,26Fall,gradcafe
214,unknown,,其他国际,3.5,4,315,,,,不明,不明,,rutgers-mqf,rejected,26Fall,gradcafe
215,unknown,,美籍,3.9,4,,,,,不明,不明,,rutgers-mqf,rejected,26Fall,gradcafe
216,unknown,,其他国际,3.88,4,,,,,不明,不明,,rutgers-mqf,accepted,26Fall,gradcafe
217,unknown,,美籍,3.82,4,,,,,不明,不明,,ucla-mfe,accepted,26Fall,gradcafe
218,unknown,,美籍,,4,,,,,不明,不明,,ucla-mfe,rejected,26Fall,gradcafe
219,unknown,,其他国际,3.93,4,,,,,不明,不明,,ucla-mfe,rejected,26Fall,gradcafe
220,unknown,,美籍,3.6,4,,,,,不明,不明,,ucla-mfe,accepted,26Fall,gradcafe
221,unknown,,其他国际,3.96,4,,,,,不明,不明,,ucla-mfe,rejected,26Fall,gradcafe
222,unknown,,美籍,,4,,,,,不明,不明,,ucla-mfe,waitlisted,26Fall,gradcafe
